battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
842,0,2.2,0,1,0,7,0.6,188,2,2,20,756,2549,9,7,19,0,0,1,1
1021,1,0.5,1,0,1,53,0.7,136,3,6,905,1988,2631,17,3,7,1,1,0,2
563,1,0.5,1,2,1,41,0.9,145,5,6,1263,1716,2603,11,2,9,1,1,0,2
615,1,2.5,0,0,0,10,0.8,131,6,9,1216,1786,2769,16,8,11,1,0,0,2
1821,1,1.2,0,13,1,44,0.6,141,2,14,1208,1212,1411,8,2,15,1,1,0,1
1859,0,0.5,1,3,0,22,0.7,164,1,7,1004,1654,1067,17,1,10,1,0,0,1
1821,0,1.7,0,4,1,10,0.8,139,8,10,381,1018,3220,13,8,18,1,1,1,3
1954,0,0.5,1,0,0,24,0.8,187,4,0,512,1149,700,16,3,5,1,1,1,0
1445,1,2.4,1,0,1,53,0.7,174,7,14,386,836,1099,17,1,20,1,0,1,1
509,1,2.9,1,2,1,9,0.1,93,5,15,1137,1224,513,19,10,12,1,0,0,0
769,1,2.9,1,0,0,9,0.1,180,5,1,248,874,3946,5,2,7,0,0,0,3
1520,0,2.2,0,5,1,33,0.5,177,8,12,1518,1652,3826,14,9,13,1,1,1,3
1815,1,1.8,1,2,1,44,0.6,159,4,8,607,748,1482,18,10,14,1,1,1,1
803,0,2.1,0,1,0,18,0.8,168,3,3,123,567,1023,11,4,9,0,0,1,0
1866,1,2.8,1,12,1,60,0.2,178,8,18,1720,1910,3998,19,11,20,1,1,1,3
980,0,1.2,1,0,0,16,0.5,121,4,1,540,1200,1205,12,5,10,1,0,0,1
1320,1,2.0,1,3,1,32,0.6,145,6,10,800,1450,2300,15,6,12,1,1,1,2
640,0,1.5,0,1,0,8,0.4,110,2,2,300,900,650,10,4,8,0,0,1,0
1700,1,2.4,1,8,1,64,0.8,190,8,16,1500,1800,3600,18,9,18,1,1,1,3
1100,0,1.8,1,2,1,24,0.5,150,4,6,700,1300,1800,14,6,11,1,1,0,2
